"","BFISH","MISSION_ID","DROP_CD","VIDEO_FRAME","TIME_FROM_TOUCHDOWN_MIN","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","MAXN","DATA_TYPE","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"1","BFISH_2016_F","SE1701","20161029_235715",9310,6.0722,"SEDU","Seriola dumerili","Greater amberjack",NA,"non-target","00000274",NA,NA,NA,NA
"2","BFISH_2016_F","SE1701","20161029_235715",5680,1.0306,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000275",NA,NA,NA,NA
"3","BFISH_2016_F","SE1701","20161030_001103",8541,5.4972,"RAFI","Randallichthys filamentosus","Randall's snapper",NA,"non-target","00000276",NA,NA,NA,NA
"4","BFISH_2016_F","SE1701","20161030_001103",5186,0.8375,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000277",NA,NA,NA,NA
"5","BFISH_2016_F","SE1701","20161030_001103",4758,0.2431,"LUSP","Lutjanid sp.","Snapper sp.",NA,"non-target","00000278",NA,NA,NA,NA
"6","BFISH_2016_F","SE1701","20161030_001103",6294,2.3764,"ETCA","Etelis carbunculus","Ehu",2,"MaxN","00000279",NA,NA,NA,NA
"7","BFISH_2016_F","SE1701","20161030_004653",3220,2.4236,"APAR","Apolemichthys arcuatus","Banded angelfish",NA,"non-target","00000280",NA,NA,NA,NA
"8","BFISH_2016_F","SE1701","20161030_004653",6899,7.5333,"AUCH","Aulostomus chinensis","Chinese trumpetfish",NA,"non-target","00000281",NA,NA,NA,NA
"9","BFISH_2016_F","SE1701","20161030_004653",11744,14.2625,"BOAL","Bodianus albotaeniatus","Hawaiian hogfish",NA,"non-target","00000282",NA,NA,NA,NA
"10","BFISH_2016_F","SE1701","20161030_004653",1475,0,"SESP","Seriola sp.","Amberjack sp.",NA,"non-target","00000283",NA,NA,NA,NA
"11","BFISH_2016_F","SE1701","20161030_004653",1475,0,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000284",NA,NA,NA,NA
"12","BFISH_2016_F","SE1701","20161030_004653",1722,0.3431,"XACA","Xanthichthys caeruleolineatus","Bluelined triggerfish",NA,"non-target","00000285",NA,NA,NA,NA
"13","BFISH_2016_F","SE1701","20161030_004653",1475,0,"DAMS","Chromis sp.","Damselfish sp.",NA,"non-target","00000286",NA,NA,NA,NA
"14","BFISH_2016_F","SE1701","20161030_004653",7632,8.5514,"LUSP","Lutjanid sp.","Snapper sp.",NA,"non-target","00000287",NA,NA,NA,NA
"15","BFISH_2016_F","SE1701","20161030_004653",2357,1.225,"GROU","Serranid sp.","Grouper",NA,"non-target","00000288",NA,NA,NA,NA
"16","BFISH_2016_F","SE1701","20161030_004653",10992,13.2181,"PRFI","Pristipomoides filamentosus","Opakapaka",1,"MaxN","00000289",NA,NA,NA,NA
"17","BFISH_2016_F","SE1701","20161030_005556",13505,18.7569,"NONE","No Fish in Drop","No Fish in Drop",NA,"other","00000290",NA,NA,NA,NA
"18","BFISH_2016_F","SE1701","20161030_180946",11757,12.3583,"PRSP","Pristipomoides sp.","Jobfish",3,"MaxN","00000291",NA,NA,NA,NA
"19","BFISH_2016_F","SE1701","20161030_180946",5888,4.2069,"GYSP","Gymnothorax sp.","Moray sp.",NA,"non-target","00000292",NA,NA,NA,NA
"20","BFISH_2016_F","SE1701","20161030_180946",5687,3.9278,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000293",NA,NA,NA,NA
"21","BFISH_2016_F","SE1701","20161030_180946",9683,9.4778,"PRFI","Pristipomoides filamentosus","Opakapaka",1,"MaxN","00000294",NA,NA,NA,NA
"22","BFISH_2016_F","SE1701","20161030_181404",9920,6.1875,"GYSP","Gymnothorax sp.","Moray sp.",NA,"non-target","00000295",NA,NA,NA,NA
"23","BFISH_2016_F","SE1701","20161030_181404",5629,0.2278,"ODFU","Odontanthias fuscipinnis","Hawaiian deep anthias",NA,"non-target","00000296",NA,NA,NA,NA
"24","BFISH_2016_F","SE1701","20161030_181404",5629,0.2278,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000297",NA,NA,NA,NA
"25","BFISH_2016_F","SE1701","20161030_181404",7382,2.6625,"ETCA","Etelis carbunculus","Ehu",2,"MaxN","00000298",NA,NA,NA,NA
"26","BFISH_2016_F","SE1701","20161030_181404",10311,6.7306,"PRSI","Pristipomoides sieboldii","Kalekale",12,"MaxN","00000299",NA,NA,NA,NA
"27","BFISH_2016_F","SE1701","20161030_181404",16221,14.9389,"PRFI","Pristipomoides filamentosus","Opakapaka",1,"MaxN","00000300",NA,NA,NA,NA
"28","BFISH_2016_F","SE1701","20161030_182007",7326,6.2375,"GYSP","Gymnothorax sp.","Moray sp.",NA,"non-target","00000301",NA,NA,NA,NA
"29","BFISH_2016_F","SE1701","20161030_182007",3545,0.9861,"PRAL","Priacanthus alalaua","Alalaua",NA,"non-target","00000302",NA,NA,NA,NA
"30","BFISH_2016_F","SE1701","20161030_182007",7529,6.5194,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000303",NA,NA,NA,NA
"31","BFISH_2016_F","SE1701","20161030_182007",10488,10.6292,"PRSI","Pristipomoides sieboldii","Kalekale",4,"MaxN","00000304",NA,NA,NA,NA
"32","BFISH_2016_F","SE1701","20161030_182706",11188,8.6708,"MUPF","Mulloidichthys pfluegeri","Orange goatfish",NA,"non-target","00000305",NA,NA,NA,NA
"33","BFISH_2016_F","SE1701","20161030_182706",10841,8.1889,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000306",NA,NA,NA,NA
"34","BFISH_2016_F","SE1701","20161030_182706",5726,1.0847,"PRFI","Pristipomoides filamentosus","Opakapaka",3,"MaxN","00000307",NA,NA,NA,NA
"35","BFISH_2016_F","SE1701","20161030_192145",3733,5.1847,"ETCA","Etelis carbunculus","Ehu",3,"MaxN","00000308",NA,NA,NA,NA
"36","BFISH_2016_F","SE1701","20161030_192145",387,0.5375,"PRZO","Pristipomoides zonatus","Gindai",1,"MaxN","00000309",NA,NA,NA,NA
"37","BFISH_2016_F","SE1701","20161030_192936",2774,0.2417,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000310",NA,NA,NA,NA
"38","BFISH_2016_F","SE1701","20161030_192936",4391,2.4875,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000311",NA,NA,NA,NA
"39","BFISH_2016_F","SE1701","20161030_192936",11202,11.9472,"PRFI","Pristipomoides filamentosus","Opakapaka",1,"MaxN","00000312",NA,NA,NA,NA
"40","BFISH_2016_F","SE1701","20161030_194035",13482,9.4236,"HEDI","Heniochus diphreutus","False moorish idol",NA,"non-target","00000313",NA,NA,NA,NA
"41","BFISH_2016_F","SE1701","20161030_194035",7192,0.6875,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000314",NA,NA,NA,NA
"42","BFISH_2016_F","SE1701","20161030_194035",7007,0.4306,"FISH","Teleost sp.","Bony fish sp.",NA,"non-target","00000315",NA,NA,NA,NA
"43","BFISH_2016_F","SE1701","20161030_194035",13482,9.4236,"OXUN","Oxycheilinus unifasciatus","Ringtail wrasse",NA,"non-target","00000316",NA,NA,NA,NA
