"","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","HAWAIIAN_LOCAL_NAME","FAMILY_NAME","COMMON_FAMILY","SPECIES_TYPE_CD","SPECIES_TYPE_CD2","SPECIES_TYPE_NAME","MIN_FL_CM","MAX_FL_CM","A","B","GCF","CM_1LB","NOTES","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"1","PRSI","Pristipomoides sieboldii","Kalekale","Kalekale","Lutjanidae","Snappers","DPS","DPS","Deep 7",NA,NA,2.243e-05,2.932,0.1364,29.4,NA,"00000140",NA,NA,NA,NA
"2","PSAU","Pristipomoides auricilla","Goldflag jobfish","Goldflag jobfish","Lutjanidae","Snappers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000141",NA,NA,NA,NA
"3","PRSP","Pristipomoides sp.","Jobfish",NA,"Lutjanidae","Snappers","DPS","DPS","Deep 7",NA,NA,NA,NA,NA,NA,NA,"00000142",NA,NA,NA,NA
"4","PRZO","Pristipomoides zonatus","Gindai","Gindai","Lutjanidae","Snappers","DPS","DPS","Deep 7",NA,NA,3.526e-05,2.859,1,27.4,NA,"00000143",NA,NA,NA,NA
"5","PSDE","Pseudocaranx cheilio","White trevally","Butaguchi","Carangidae","Jacks","OTB","OTB",NA,NA,NA,NA,NA,NA,NA," (dentex?)","00000144",NA,NA,NA,NA
"6","PSHA","Pseudanthias hawaiiensis","Hawaiian Anthias",NA,"Serranidae","Groupers","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000145",NA,NA,NA,NA
"7","PSSP","Pseudanthias sp.","Anthias sp.","Anthias sp.","Serranidae","Groupers","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000146",NA,NA,NA,NA
"8","PUFF","Tetraodontid sp.","Puffer sp.","Fugu","Tetraodontidae","Puffers","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000147",NA,NA,NA,NA
"9","PUFF","Tetraodontid sp.","Puffer sp.","pufferfish","Tetraodontidae","Puffers","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000148",NA,NA,NA,NA
"10","PUFF","Tetraodontid sp.","Puffer sp.","puffer fish","Tetraodontidae","Puffers","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000149",NA,NA,NA,NA
"11","RAFI","Randallichthys filamentosus","Randall's snapper",NA,"Lutjanidae","Snappers","OTB","OTB","Other Bottomfish",NA,NA,NA,NA,NA,NA,NA,"00000150",NA,NA,NA,NA
"12","RASP","Rajiform sp.","Ray sp.","Ray",NA,NA,"OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000151",NA,NA,NA,NA
