"PSU","total_samples_in_psu","samples_with_opaka_catch","prop_zeros_opaka"
44616,3,1,66.6666666666667
2559,3,0,100
10882,3,0,100
11872,3,0,100
12537,3,0,100
13446,3,0,100
15029,3,0,100
16420,3,0,100
40201,3,0,100
42794,3,0,100
43231,3,0,100
44582,3,0,100
45207,3,0,100
1232,2,2,0
2019,2,2,0
3506,2,2,0
14930,2,2,0
36708,2,2,0
37036,2,2,0
39929,2,2,0
306,2,1,50
366,2,1,50
611,2,1,50
1230,2,1,50
1597,2,1,50
1625,2,1,50
1730,2,1,50
2847,2,1,50
3540,2,1,50
5379,2,1,50
8715,2,1,50
9126,2,1,50
10317,2,1,50
11564,2,1,50
12179,2,1,50
12258,2,1,50
12372,2,1,50
13142,2,1,50
15101,2,1,50
15139,2,1,50
15347,2,1,50
15777,2,1,50
17902,2,1,50
18454,2,1,50
18778,2,1,50
20605,2,1,50
22829,2,1,50
23677,2,1,50
27904,2,1,50
31974,2,1,50
33024,2,1,50
39862,2,1,50
43397,2,1,50
44366,2,1,50
50,2,0,100
81,2,0,100
247,2,0,100
305,2,0,100
422,2,0,100
445,2,0,100
538,2,0,100
541,2,0,100
553,2,0,100
710,2,0,100
1052,2,0,100
1413,2,0,100
1704,2,0,100
2416,2,0,100
2581,2,0,100
2631,2,0,100
2937,2,0,100
3487,2,0,100
3730,2,0,100
3797,2,0,100
3909,2,0,100
4076,2,0,100
4646,2,0,100
4752,2,0,100
5102,2,0,100
5274,2,0,100
5451,2,0,100
5510,2,0,100
5809,2,0,100
6056,2,0,100
6208,2,0,100
6245,2,0,100
6421,2,0,100
6714,2,0,100
6923,2,0,100
6994,2,0,100
7153,2,0,100
7382,2,0,100
7678,2,0,100
7680,2,0,100
7915,2,0,100
7928,2,0,100
8005,2,0,100
8554,2,0,100
8768,2,0,100
8779,2,0,100
8785,2,0,100
9678,2,0,100
9712,2,0,100
9819,2,0,100
9822,2,0,100
9879,2,0,100
9901,2,0,100
9945,2,0,100
10008,2,0,100
10396,2,0,100
11189,2,0,100
11196,2,0,100
11203,2,0,100
11516,2,0,100
11532,2,0,100
11571,2,0,100
11665,2,0,100
11817,2,0,100
11832,2,0,100
11834,2,0,100
11938,2,0,100
12021,2,0,100
12059,2,0,100
12262,2,0,100
12501,2,0,100
12532,2,0,100
12649,2,0,100
12795,2,0,100
13148,2,0,100
13213,2,0,100
13340,2,0,100
13490,2,0,100
13804,2,0,100
13812,2,0,100
13934,2,0,100
14050,2,0,100
14168,2,0,100
14292,2,0,100
14293,2,0,100
14396,2,0,100
14412,2,0,100
14446,2,0,100
14543,2,0,100
14634,2,0,100
14763,2,0,100
14898,2,0,100
14949,2,0,100
15032,2,0,100
15181,2,0,100
15483,2,0,100
15715,2,0,100
15717,2,0,100
16190,2,0,100
16222,2,0,100
16285,2,0,100
16335,2,0,100
16516,2,0,100
16709,2,0,100
17416,2,0,100
17702,2,0,100
18273,2,0,100
19350,2,0,100
20391,2,0,100
21092,2,0,100
21779,2,0,100
22030,2,0,100
22326,2,0,100
22438,2,0,100
22688,2,0,100
22930,2,0,100
23446,2,0,100
23815,2,0,100
24640,2,0,100
24929,2,0,100
25106,2,0,100
25213,2,0,100
25502,2,0,100
25786,2,0,100
25793,2,0,100
25802,2,0,100
26092,2,0,100
26383,2,0,100
26412,2,0,100
26697,2,0,100
27401,2,0,100
28264,2,0,100
30196,2,0,100
30261,2,0,100
30979,2,0,100
31302,2,0,100
31322,2,0,100
31412,2,0,100
31634,2,0,100
32120,2,0,100
33220,2,0,100
33447,2,0,100
33671,2,0,100
34072,2,0,100
34115,2,0,100
34492,2,0,100
34929,2,0,100
35068,2,0,100
35277,2,0,100
35428,2,0,100
35525,2,0,100
35622,2,0,100
35632,2,0,100
35703,2,0,100
35992,2,0,100
36039,2,0,100
36079,2,0,100
36307,2,0,100
36542,2,0,100
37113,2,0,100
37121,2,0,100
37274,2,0,100
37496,2,0,100
37614,2,0,100
37689,2,0,100
37991,2,0,100
38182,2,0,100
38364,2,0,100
38425,2,0,100
38506,2,0,100
38530,2,0,100
38565,2,0,100
38941,2,0,100
39562,2,0,100
39745,2,0,100
39808,2,0,100
39816,2,0,100
39878,2,0,100
39985,2,0,100
40012,2,0,100
40077,2,0,100
40202,2,0,100
40576,2,0,100
40655,2,0,100
40709,2,0,100
40818,2,0,100
40942,2,0,100
41035,2,0,100
41191,2,0,100
41356,2,0,100
41449,2,0,100
41694,2,0,100
41814,2,0,100
41958,2,0,100
41986,2,0,100
42030,2,0,100
42125,2,0,100
42181,2,0,100
42228,2,0,100
42446,2,0,100
42742,2,0,100
42849,2,0,100
42868,2,0,100
42996,2,0,100
43039,2,0,100
43058,2,0,100
43457,2,0,100
43538,2,0,100
43647,2,0,100
43717,2,0,100
43880,2,0,100
43934,2,0,100
43961,2,0,100
43988,2,0,100
44050,2,0,100
44105,2,0,100
44109,2,0,100
44487,2,0,100
44621,2,0,100
44698,2,0,100
44705,2,0,100
45073,2,0,100
45153,2,0,100
45271,2,0,100
45364,2,0,100
11,1,1,0
101,1,1,0
132,1,1,0
134,1,1,0
210,1,1,0
226,1,1,0
271,1,1,0
272,1,1,0
524,1,1,0
638,1,1,0
699,1,1,0
720,1,1,0
730,1,1,0
899,1,1,0
935,1,1,0
979,1,1,0
1073,1,1,0
1125,1,1,0
1165,1,1,0
1205,1,1,0
1210,1,1,0
1249,1,1,0
1335,1,1,0
1352,1,1,0
1366,1,1,0
1387,1,1,0
1398,1,1,0
1677,1,1,0
1699,1,1,0
1719,1,1,0
1947,1,1,0
2073,1,1,0
2132,1,1,0
2165,1,1,0
2511,1,1,0
2699,1,1,0
2810,1,1,0
2888,1,1,0
2890,1,1,0
2931,1,1,0
3020,1,1,0
3037,1,1,0
3446,1,1,0
3450,1,1,0
3569,1,1,0
3572,1,1,0
3573,1,1,0
3668,1,1,0
3904,1,1,0
4109,1,1,0
4179,1,1,0
4364,1,1,0
4506,1,1,0
4955,1,1,0
5311,1,1,0
5604,1,1,0
5659,1,1,0
5733,1,1,0
5734,1,1,0
5735,1,1,0
5737,1,1,0
5803,1,1,0
5810,1,1,0
5870,1,1,0
5891,1,1,0
5939,1,1,0
6141,1,1,0
6311,1,1,0
6427,1,1,0
6428,1,1,0
6496,1,1,0
7303,1,1,0
7590,1,1,0
8359,1,1,0
8369,1,1,0
8374,1,1,0
8567,1,1,0
8580,1,1,0
8651,1,1,0
8652,1,1,0
8978,1,1,0
9169,1,1,0
9190,1,1,0
9364,1,1,0
9426,1,1,0
9766,1,1,0
9827,1,1,0
10314,1,1,0
10782,1,1,0
11039,1,1,0
11661,1,1,0
11839,1,1,0
12065,1,1,0
12093,1,1,0
12214,1,1,0
12371,1,1,0
12546,1,1,0
12617,1,1,0
12826,1,1,0
13140,1,1,0
13144,1,1,0
13459,1,1,0
14238,1,1,0
14359,1,1,0
14884,1,1,0
15016,1,1,0
15100,1,1,0
15590,1,1,0
15597,1,1,0
15722,1,1,0
15724,1,1,0
15994,1,1,0
16004,1,1,0
16096,1,1,0
16115,1,1,0
16117,1,1,0
16149,1,1,0
16205,1,1,0
16259,1,1,0
16916,1,1,0
17155,1,1,0
17561,1,1,0
17848,1,1,0
17927,1,1,0
18470,1,1,0
18547,1,1,0
19117,1,1,0
19414,1,1,0
19549,1,1,0
20678,1,1,0
22647,1,1,0
22910,1,1,0
23271,1,1,0
23342,1,1,0
23412,1,1,0
23417,1,1,0
24235,1,1,0
24483,1,1,0
24754,1,1,0
25173,1,1,0
25176,1,1,0
25236,1,1,0
25748,1,1,0
25810,1,1,0
27289,1,1,0
27291,1,1,0
27320,1,1,0
27589,1,1,0
27897,1,1,0
27898,1,1,0
30401,1,1,0
30958,1,1,0
31041,1,1,0
32301,1,1,0
32378,1,1,0
32422,1,1,0
32431,1,1,0
32541,1,1,0
32702,1,1,0
32703,1,1,0
32867,1,1,0
34334,1,1,0
34645,1,1,0
35343,1,1,0
35426,1,1,0
36931,1,1,0
36958,1,1,0
37108,1,1,0
37142,1,1,0
37342,1,1,0
37356,1,1,0
37413,1,1,0
37538,1,1,0
37541,1,1,0
37626,1,1,0
37769,1,1,0
37829,1,1,0
38007,1,1,0
38088,1,1,0
38314,1,1,0
38817,1,1,0
39066,1,1,0
39239,1,1,0
39290,1,1,0
39393,1,1,0
39395,1,1,0
39508,1,1,0
39882,1,1,0
39951,1,1,0
39970,1,1,0
40017,1,1,0
40058,1,1,0
40081,1,1,0
40082,1,1,0
40083,1,1,0
40301,1,1,0
40528,1,1,0
40719,1,1,0
40803,1,1,0
41060,1,1,0
41087,1,1,0
41303,1,1,0
41362,1,1,0
43665,1,1,0
43698,1,1,0
43748,1,1,0
43990,1,1,0
44111,1,1,0
44204,1,1,0
44247,1,1,0
44284,1,1,0
45082,1,1,0
7,1,0,100
18,1,0,100
24,1,0,100
30,1,0,100
37,1,0,100
44,1,0,100
47,1,0,100
54,1,0,100
63,1,0,100
93,1,0,100
108,1,0,100
117,1,0,100
122,1,0,100
130,1,0,100
164,1,0,100
169,1,0,100
199,1,0,100
201,1,0,100
212,1,0,100
231,1,0,100
286,1,0,100
299,1,0,100
304,1,0,100
316,1,0,100
321,1,0,100
322,1,0,100
323,1,0,100
337,1,0,100
338,1,0,100
339,1,0,100
369,1,0,100
379,1,0,100
380,1,0,100
415,1,0,100
420,1,0,100
435,1,0,100
449,1,0,100
450,1,0,100
462,1,0,100
500,1,0,100
508,1,0,100
530,1,0,100
531,1,0,100
559,1,0,100
575,1,0,100
589,1,0,100
628,1,0,100
631,1,0,100
637,1,0,100
641,1,0,100
650,1,0,100
665,1,0,100
667,1,0,100
672,1,0,100
674,1,0,100
690,1,0,100
694,1,0,100
700,1,0,100
731,1,0,100
739,1,0,100
775,1,0,100
778,1,0,100
795,1,0,100
843,1,0,100
844,1,0,100
858,1,0,100
889,1,0,100
909,1,0,100
925,1,0,100
958,1,0,100
966,1,0,100
1001,1,0,100
1031,1,0,100
1050,1,0,100
1064,1,0,100
1075,1,0,100
1076,1,0,100
1082,1,0,100
1088,1,0,100
1107,1,0,100
1122,1,0,100
1126,1,0,100
1130,1,0,100
1133,1,0,100
1134,1,0,100
1142,1,0,100
1162,1,0,100
1163,1,0,100
1168,1,0,100
1185,1,0,100
1195,1,0,100
1206,1,0,100
1223,1,0,100
1251,1,0,100
1255,1,0,100
1322,1,0,100
1377,1,0,100
1420,1,0,100
1422,1,0,100
1439,1,0,100
1452,1,0,100
1474,1,0,100
1484,1,0,100
1490,1,0,100
1496,1,0,100
1509,1,0,100
1510,1,0,100
1514,1,0,100
1547,1,0,100
1553,1,0,100
1554,1,0,100
1558,1,0,100
1567,1,0,100
1578,1,0,100
1590,1,0,100
1598,1,0,100
1616,1,0,100
1628,1,0,100
1633,1,0,100
1647,1,0,100
1655,1,0,100
1700,1,0,100
1734,1,0,100
1750,1,0,100
1765,1,0,100
1776,1,0,100
1805,1,0,100
1834,1,0,100
1835,1,0,100
1856,1,0,100
1870,1,0,100
1891,1,0,100
1905,1,0,100
1921,1,0,100
1953,1,0,100
1965,1,0,100
1980,1,0,100
2008,1,0,100
2039,1,0,100
2052,1,0,100
2055,1,0,100
2072,1,0,100
2074,1,0,100
2075,1,0,100
2095,1,0,100
2114,1,0,100
2122,1,0,100
2140,1,0,100
2142,1,0,100
2155,1,0,100
2182,1,0,100
2183,1,0,100
2189,1,0,100
2198,1,0,100
2257,1,0,100
2265,1,0,100
2279,1,0,100
2286,1,0,100
2295,1,0,100
2332,1,0,100
2345,1,0,100
2347,1,0,100
2377,1,0,100
2420,1,0,100
2432,1,0,100
2502,1,0,100
2524,1,0,100
2546,1,0,100
2550,1,0,100
2580,1,0,100
2600,1,0,100
2610,1,0,100
2617,1,0,100
2673,1,0,100
2702,1,0,100
2703,1,0,100
2706,1,0,100
2708,1,0,100
2742,1,0,100
2743,1,0,100
2775,1,0,100
2820,1,0,100
2853,1,0,100
2861,1,0,100
2865,1,0,100
2887,1,0,100
2892,1,0,100
2895,1,0,100
2932,1,0,100
2950,1,0,100
2973,1,0,100
2978,1,0,100
2987,1,0,100
2997,1,0,100
3025,1,0,100
3027,1,0,100
3028,1,0,100
3041,1,0,100
3082,1,0,100
3084,1,0,100
3087,1,0,100
3128,1,0,100
3137,1,0,100
3168,1,0,100
3175,1,0,100
3226,1,0,100
3232,1,0,100
3233,1,0,100
3247,1,0,100
3287,1,0,100
3292,1,0,100
3300,1,0,100
